Relative_ms,Current_A
0,0.44
10,1.66
20,2.01
30,1.76
40,0.44
50,0.44
60,6.82
70,0.44
80,0.69
90,0.44
100,4.97
110,0.44
120,1.69
130,0.71
140,0.44
150,87.55
160,87.68
170,95.09
180,95.77
190,95.38
200,96.67
210,6.71
220,2.04
230,0.59
240,1.71
250,0.58
260,8.16
270,0.44
280,3.62
290,0.44
300,6.53
310,0.44
320,0.44
330,1.64
340,0.44
350,16.39
360,0.44
370,0.44
380,0.44
390,6.52
400,0.44
410,0.44
420,0.44
430,0.44
440,0.44
450,0.44
460,0.44
470,6.76
480,6.71
490,0.44
500,0.44
510,0.44
520,0.44
530,3.62
540,2.77
550,0.44
560,0.88
570,6.52
580,6.52
590,1.13
600,1.64
610,3.62
620,1.27
630,0.44
640,0.65
650,0.44
660,3.25
670,0.44
680,96.54
690,90.9
700,86.53
710,82.45
720,79.22
730,77.7
740,77.72
750,76.29
760,75.31
770,76.72
780,74.85
790,71.77
800,69.4
810,62.95
820,38.52
830,6.84
840,3.59
850,0.45
860,0.44
870,0.44
880,0.44
890,1.52
900,80.61
910,73.25
920,88.1
930,89.31
940,88.09
950,83.24
960,78.74
970,74.43
980,69.09
990,16.28
1000,3.46
1010,0.44
1020,0.44
1030,1.94
1040,0.44
1050,0.56
1060,0.44
1070,0.44
1080,0.44
1090,0.44
1100,0.44
1110,75.64
1120,79.47
1130,80.95
1140,83.51
1150,87.49
1160,83.38
1170,81.3
1180,87.97
1190,80.48
1200,77.94
1210,75.06
1220,80.25
1230,74.53
1240,73.86
1250,73.59
1260,72.32
1270,72.76
1280,71.58
1290,73.03
1300,71.42
1310,71.05
1320,64.04
1330,69.76
1340,65.02
1350,70.07
1360,69.73
1370,62.79
1380,66.74
1390,67.95
1400,23.4
1410,19.31
1420,57.3
1430,67.35
1440,75.68
1450,78.57
1460,83.84
1470,29.65
1480,51.46
1490,59.01
1500,60.51
1510,57.93
1520,61.13
1530,66.01
1540,66.12
1550,74.71
1560,60.33
1570,67.44
1580,72.25
1590,71.83
1600,65.93
1610,69.85
1620,71.6
1630,73.78
1640,73.12
1650,71.4
1660,70.63
1670,67.91
1680,69.47
1690,72.36
1700,82.86
1710,81.23
1720,74.19
1730,70.11
1740,72.99
1750,73.01
1760,73.88
1770,71.48
1780,83.22
1790,77.4
1800,76.08
1810,73.62
1820,75.07
1830,76.01
1840,66.42
1850,65.95
1860,53.88
1870,62.18
1880,52.97
1890,58.9
1900,38.03
1910,51.42
1920,79.19
1930,77.84
1940,74.15
1950,78.14
1960,73.4
1970,71.54
1980,86.37
1990,76.92
2000,70.89
2010,50.17
2020,2.92
2030,0.56
2040,6.52
2050,0.44
2060,0.44
2070,1.71
2080,0.88
2090,0.44
2100,1.64
2110,1.08
2120,0.44
2130,0.44
2140,0.44
2150,0.44
2160,0.88
2170,3.25
2180,0.44
2190,4.89
2200,0.44
2210,0.44
2220,0.44
2230,2.06
2240,0.44
2250,0.44
2260,0.44
2270,92.23
2280,96.66
2290,81.83
2300,77.07
2310,71.77
2320,25.28
2330,4.42
2340,1.6
2350,3.8
2360,2.55
2370,3.77
2380,5.93
2390,76.25
2400,80.14
2410,81.1
2420,82.11
2430,78.59
2440,77.01
2450,76.63
2460,73.95
2470,70.27
2480,76.31
2490,74.69
2500,68.53
2510,81.31
2520,79.76
2530,80.58
2540,81.18
2550,83.39
2560,83.14
2570,84.59
2580,83.28
2590,81.13
2600,81.5
2610,80.22
2620,79.69
2630,76.61
2640,75.61
2650,72.46
2660,72.72
2670,70.59
2680,72.35
2690,68.4
2700,66.36
2710,68.88
2720,68.39
2730,4.56
2740,0.44
2750,2.24
2760,2.62
2770,3.62
2780,0.44
2790,1.25
2800,0.44
2810,0.44
2820,1.25
2830,0.44
2840,1.64
2850,40.68
2860,80.68
2870,73.16
2880,66.57
2890,64.49
2900,47.55
2910,61.45
2920,63.54
2930,62.74
2940,59.8
2950,45.73
2960,19.55
2970,13.89
2980,7.51
2990,6.28
3000,2.9
3010,5.97
3020,3.75
3030,7.99
3040,6.38
3050,9.57
3060,9.35
3070,15.94
3080,68.91
3090,77.62
3100,89.53
3110,75.46
3120,75.99
3130,77.55
3140,74.25
3150,79.24
3160,80.78
3170,81.65
3180,81.43
3190,80.39
3200,79.46
3210,77.94
3220,75.36
3230,70.95
3240,67.8
3250,69.32
3260,11.86
3270,59.4
3280,7.11
3290,9.62
3300,5.54
3310,10.86
3320,25.39
3330,65.58
3340,60.28
3350,68.32
3360,63.46
3370,67.57
3380,64.77
3390,37.03
3400,57.53
3410,70.67
3420,78.74
3430,75.97
3440,14.3
3450,74.99
3460,77.83
3470,77.93
3480,77.99
3490,79.21
3500,79.44
3510,77.82
3520,76.95
3530,76.26
3540,75.65
3550,74.24
3560,72.34
3570,73.16
3580,76.48
3590,72.66
3600,71.9
3610,71.52
3620,72.01
3630,72.74
3640,69.81
3650,69.99
3660,65.6
3670,73.88
3680,71.49
3690,67.92
3700,68.35
3710,73.62
3720,76.46
3730,77.18
3740,77.62
3750,79.45
3760,78.14
3770,79.22
3780,81.71
3790,80.37
3800,80.58
3810,80.59
3820,82
3830,3.63
3840,3.25
3850,0.44
3860,0.44
3870,0.44
3880,0.44
3890,15.03
3900,1.58
